Date,Facebook.wiki,Google.wiki,Microsoft.wiki,Apple Inc..wiki,AAPL,AMZN,FB,GOOGL,MSFT,FB_return,GOOGL_return,MSFT_return,AMZN_return,AAPL_return,Facebook.wiki_t-1,Facebook.wiki_t-2,Facebook.wiki_t-3,Google.wiki_t-1,Google.wiki_t-2,Google.wiki_t-3,Microsoft.wiki_t-1,Microsoft.wiki_t-2,Microsoft.wiki_t-3,Apple Inc..wiki_t-1,Apple Inc..wiki_t-2,Apple Inc..wiki_t-3,FB_return_t-1,FB_return_t-2,FB_return_t-3,GOOGL_return_t-1,GOOGL_return_t-2,GOOGL_return_t-3,MSFT_return_t-1,MSFT_return_t-2,MSFT_return_t-3,AMZN_return_t-1,AMZN_return_t-2,AMZN_return_t-3,AAPL_return_t-1,AAPL_return_t-2,AAPL_return_t-3,Facebook.wiki_t-1_t-2,Facebook.wiki_t-2_t-3,Facebook.wiki_t-3_t-4,Google.wiki_t-1_t-2,Google.wiki_t-2_t-3,Google.wiki_t-3_t-4,Microsoft.wiki_t-1_t-2,Microsoft.wiki_t-2_t-3,Microsoft.wiki_t-3_t-4,Apple Inc..wiki_t-1_t-2,Apple Inc..wiki_t-2_t-3,Apple Inc..wiki_t-3_t-4
2015-07-08,10.72335548587523,10.725951004566129,9.256555795773146,9.585689856179723,28.189571380615234,429.70001220703125,85.6500015258789,541.7000122070312,39.941715240478516,-0.018000454859562143,-0.015144658738891703,-0.0013544521426591682,-0.01607434739432556,-0.024822934161503496,10.734764910083326,10.756795885220015,11.50349110098326,10.772602815917853,10.74793850718724,10.772225354550736,8.925188429378027,8.921591063563978,8.945332616563274,9.510889310134788,9.368369236201092,9.408617295560266,-0.0037692954831720638,0.0029786015981609903,0.0043723074146369,0.00808261100977492,-0.0031425286912836192,0.0074361110864584745,-0.0020274163804964163,-0.00022505918390403057,-0.0011248855889456344,0.0015594731273638196,-0.003815272538341463,0.00073155946849357,-0.002460271120179325,-0.003479841887381707,-0.0012639703276496883,-0.022030975136688724,-0.7466952157632445,0.6698493599138224,0.024664308730613982,-0.024286847363496733,-0.016309910119614912,0.003597365814048459,-0.02374155299929548,0.0253445455947503,0.1425200739336958,-0.04024805935917364,0.05400343442765809
2015-07-09,10.762212728875873,10.675815530970514,9.19085169539232,9.52704712346858,27.614601135253906,434.3900146484375,85.87999725341797,544.6500244140625,40.19451141357422,0.0026852974132121066,0.005445841130798712,0.006329126617965253,0.010914596947105837,-0.020396558627943873,10.72335548587523,10.734764910083326,10.756795885220015,10.725951004566129,10.772602815917853,10.74793850718724,9.256555795773146,8.925188429378027,8.921591063563978,9.585689856179723,9.510889310134788,9.368369236201092,-0.018000454859562143,-0.0037692954831720638,0.0029786015981609903,-0.015144658738891703,0.00808261100977492,-0.0031425286912836192,-0.0013544521426591682,-0.0020274163804964163,-0.00022505918390403057,-0.01607434739432556,0.0015594731273638196,-0.003815272538341463,-0.024822934161503496,-0.002460271120179325,-0.003479841887381707,-0.011409424208096652,-0.022030975136688724,-0.7466952157632445,-0.04665181135172425,0.024664308730613982,-0.024286847363496733,0.3313673663951189,0.003597365814048459,-0.02374155299929548,0.07480054604493525,0.1425200739336958,-0.04024805935917364
2015-07-10,10.749849260583721,10.660852890422639,8.96405612822033,9.42504844446929,28.35285758972168,443.510009765625,87.94999694824219,556.1099853515625,40.27576446533203,0.024103397310505148,0.02104096286386592,0.002021496191899841,0.020994946498870348,0.026734279117480497,10.762212728875873,10.72335548587523,10.734764910083326,10.675815530970514,10.725951004566129,10.772602815917853,9.19085169539232,9.256555795773146,8.925188429378027,9.52704712346858,9.585689856179723,9.510889310134788,0.0026852974132121066,-0.018000454859562143,-0.0037692954831720638,0.005445841130798712,-0.015144658738891703,0.00808261100977492,0.006329126617965253,-0.0013544521426591682,-0.0020274163804964163,0.010914596947105837,-0.01607434739432556,0.0015594731273638196,-0.020396558627943873,-0.024822934161503496,-0.002460271120179325,0.03885724300064375,-0.011409424208096652,-0.022030975136688724,-0.05013547359561521,-0.04665181135172425,0.024664308730613982,-0.06570410038082564,0.3313673663951189,0.003597365814048459,-0.05864273271114229,0.07480054604493525,0.1425200739336958
2015-07-13,10.759263656544292,10.701850238240384,8.969287400118406,9.43188264192342,28.900230407714844,455.57000732421875,90.0999984741211,571.72998046875,41.115413665771484,0.024445725986143696,0.028087960167290982,0.020847504984348397,0.027192165437183613,0.01930573721752804,10.749849260583721,10.762212728875873,10.72335548587523,10.660852890422639,10.675815530970514,10.725951004566129,8.96405612822033,9.19085169539232,9.256555795773146,9.42504844446929,9.52704712346858,9.585689856179723,0.024103397310505148,0.0026852974132121066,-0.018000454859562143,0.02104096286386592,0.005445841130798712,-0.015144658738891703,0.002021496191899841,0.006329126617965253,-0.0013544521426591682,0.020994946498870348,0.010914596947105837,-0.01607434739432556,0.026734279117480497,-0.020396558627943873,-0.024822934161503496,-0.012363468292152291,0.03885724300064375,-0.011409424208096652,-0.014962640547874884,-0.05013547359561521,-0.04665181135172425,-0.22679556717199034,-0.06570410038082564,0.3313673663951189,-0.1019986789992906,-0.05864273271114229,0.07480054604493525
2015-07-14,10.703446694896137,10.720399840430005,8.897682313454224,9.345570321236286,28.88872718811035,465.57000732421875,89.68000030517578,584.1799926757812,41.18762969970703,-0.004661466992876173,0.021776035248009418,0.0017564224094299696,0.021950523167086455,-0.0003980321070873316,10.759263656544292,10.749849260583721,10.762212728875873,10.701850238240384,10.660852890422639,10.675815530970514,8.969287400118406,8.96405612822033,9.19085169539232,9.43188264192342,9.42504844446929,9.52704712346858,0.024445725986143696,0.024103397310505148,0.0026852974132121066,0.028087960167290982,0.02104096286386592,0.005445841130798712,0.020847504984348397,0.002021496191899841,0.006329126617965253,0.027192165437183613,0.020994946498870348,0.010914596947105837,0.01930573721752804,0.026734279117480497,-0.020396558627943873,0.009414395960570587,-0.012363468292152291,0.03885724300064375,0.04099734781774522,-0.014962640547874884,-0.05013547359561521,0.005231271898075818,-0.22679556717199034,-0.06570410038082564,0.006834197454129054,-0.1019986789992906,-0.05864273271114229
2015-07-15,10.70450210396508,10.707482665306589,8.933796043934858,9.253112463820052,29.167015075683594,461.19000244140625,89.76000213623047,583.9600219726562,41.31403350830078,0.000892081074737261,-0.00037654610887549733,0.003068975066429891,-0.009407833008800992,0.009633096181813627,10.703446694896137,10.759263656544292,10.749849260583721,10.720399840430005,10.701850238240384,10.660852890422639,8.897682313454224,8.969287400118406,8.96405612822033,9.345570321236286,9.43188264192342,9.42504844446929,-0.004661466992876173,0.024445725986143696,0.024103397310505148,0.021776035248009418,0.028087960167290982,0.02104096286386592,0.0017564224094299696,0.020847504984348397,0.002021496191899841,0.021950523167086455,0.027192165437183613,0.020994946498870348,-0.0003980321070873316,0.01930573721752804,0.026734279117480497,-0.05581696164815497,0.009414395960570587,-0.012363468292152291,0.018549602189620984,0.04099734781774522,-0.014962640547874884,-0.07160508666418153,0.005231271898075818,-0.22679556717199034,-0.08631232068713324,0.006834197454129054,-0.1019986789992906
2015-07-16,10.718520452336056,10.69898823220789,8.915029272359911,9.227689010310796,29.555696487426758,475.4800109863281,90.8499984741211,601.780029296875,42.126590728759766,0.012143452673233135,0.030515800146766248,0.019667825953031848,0.03098507875121914,0.013326060645376225,10.70450210396508,10.703446694896137,10.759263656544292,10.707482665306589,10.720399840430005,10.701850238240384,8.933796043934858,8.897682313454224,8.969287400118406,9.253112463820052,9.345570321236286,9.43188264192342,0.000892081074737261,-0.004661466992876173,0.024445725986143696,-0.00037654610887549733,0.021776035248009418,0.028087960167290982,0.003068975066429891,0.0017564224094299696,0.020847504984348397,-0.009407833008800992,0.021950523167086455,0.027192165437183613,0.009633096181813627,-0.0003980321070873316,0.01930573721752804,0.0010554090689431916,-0.05581696164815497,0.009414395960570587,-0.012917175123416058,0.018549602189620984,0.04099734781774522,0.03611373048063449,-0.07160508666418153,0.005231271898075818,-0.09245785741623358,-0.08631232068713324,0.006834197454129054
2015-07-17,10.764561513772353,10.718122010680352,8.734399150063695,9.164715193949908,29.810977935791016,483.010009765625,94.97000122070312,699.6199951171875,42.09048080444336,0.04534950815387884,0.1625842684321539,-0.000857176517057967,0.01583662531612373,0.008637301052027535,10.718520452336056,10.70450210396508,10.703446694896137,10.69898823220789,10.707482665306589,10.720399840430005,8.915029272359911,8.933796043934858,8.897682313454224,9.227689010310796,9.253112463820052,9.345570321236286,0.012143452673233135,0.000892081074737261,-0.004661466992876173,0.030515800146766248,-0.00037654610887549733,0.021776035248009418,0.019667825953031848,0.003068975066429891,0.0017564224094299696,0.03098507875121914,-0.009407833008800992,0.021950523167086455,0.013326060645376225,0.009633096181813627,-0.0003980321070873316,0.014018348370976597,0.0010554090689431916,-0.05581696164815497,-0.008494433098698906,-0.012917175123416058,0.018549602189620984,-0.018766771574947327,0.03611373048063449,-0.07160508666418153,-0.025423453509256788,-0.09245785741623358,-0.08631232068713324
2015-07-20,10.847198879986275,10.68329396475648,8.88751459738882,9.355565624128962,30.37445640563965,488.1000061035156,97.91000366210938,692.8400268554688,42.361324310302734,0.03095716967059836,-0.009690929803375714,0.006434792396830646,0.010538076302726074,0.018901710338462996,10.764561513772353,10.718520452336056,10.70450210396508,10.718122010680352,10.69898823220789,10.707482665306589,8.734399150063695,8.915029272359911,8.933796043934858,9.164715193949908,9.227689010310796,9.253112463820052,0.04534950815387884,0.012143452673233135,0.000892081074737261,0.1625842684321539,0.030515800146766248,-0.00037654610887549733,-0.000857176517057967,0.019667825953031848,0.003068975066429891,0.01583662531612373,0.03098507875121914,-0.009407833008800992,0.008637301052027535,0.013326060645376225,0.009633096181813627,0.046041061436296715,0.014018348370976597,0.0010554090689431916,0.01913377847246167,-0.008494433098698906,-0.012917175123416058,-0.18063012229621656,-0.018766771574947327,0.03611373048063449,-0.06297381636088772,-0.025423453509256788,-0.09245785741623358
2015-07-21,10.835336623326135,10.694373778997369,8.972463821059907,9.441610810502,30.070865631103516,488.0,98.38999938964844,695.3499755859375,42.68635177612305,0.004902417624204514,0.00362269590840536,0.007672740904874464,-0.00020488855206945988,-0.00999493687991615,10.847198879986275,10.764561513772353,10.718520452336056,10.68329396475648,10.718122010680352,10.69898823220789,8.88751459738882,8.734399150063695,8.915029272359911,9.355565624128962,9.164715193949908,9.227689010310796,0.03095716967059836,0.04534950815387884,0.012143452673233135,-0.009690929803375714,0.1625842684321539,0.030515800146766248,0.006434792396830646,-0.000857176517057967,0.019667825953031848,0.010538076302726074,0.01583662531612373,0.03098507875121914,0.018901710338462996,0.008637301052027535,0.013326060645376225,0.08263736621392148,0.046041061436296715,0.014018348370976597,-0.0348280459238719,0.01913377847246167,-0.008494433098698906,0.15311544732512594,-0.18063012229621656,-0.018766771574947327,0.19085043017905434,-0.06297381636088772,-0.025423453509256788
